,rank,image,name,company,marketCap,fullyDilutedMarketCap,yesterday_low,yesterday_high,yesterday_open,yesterday_close,yesterday_change,yesterday_volume,price,volume_24h,volume24hInMarketCap,dominance,circulatingSupply,maxSupplyValue,totalSupplyValue,price_change_24h,high_24h,low_24h,high_7d,low_7d,high_30d,low_30d,high_90d,low_90d,high_52w,low_52w,high_all_time,low_all_time,high_all_time_date,low_all_time_date,date,price_change_percentage
41,73,https://s2.coinmarketcap.com/static/img/coins/64x64/5567.png,Celo,CELO,1216793208.35,3143265047.94,2.94,3.21,3.08,3.08,0.25,75917300.11,3.14,80366965.16,0.06605,0.07,387111233.0,1000000000.0,1000000000.0,0.02182,3.3,3.05,4.42,2.9,4.42,2.9,6.85,2.9,10.66,1.66,10.66,0.7955,"Aug 30, 2021","May 22, 2020",2022-01-26 21:27:28.508559,0.6949044585987261
42,76,https://s2.coinmarketcap.com/static/img/coins/64x64/7653.png,Oasis Network,ROSE,1103921973.59,3160370604.87,0.3023,0.3382,0.3257,0.3181,2.33,279989530.16,0.316,321424182.92,0.2912,0.07,3493014306.0,10000000000.0,10000000000.0,-0.01369,0.3553,0.3134,0.4824,0.2834,0.4824,0.2834,0.5964,0.1759,0.5816,0.04505,0.5964,0.03205,"Jan 15, 2022","Nov 26, 2020",2022-01-26 21:27:30.981089,-4.332278481012659
43,75,https://s2.coinmarketcap.com/static/img/coins/64x64/1274.png,Waves,WAVES,1129130779.13,1129130779.13,8.18,8.53,8.53,8.41,1.44,76336735.23,10.52,671299021.42,0.5945,0.07,107328400.0,0.0,107328400.0,2.11,11.66,8.28,13.6,7.64,13.6,7.64,27.74,7.64,41.33,5.99,41.33,0.1227,"May 04, 2021","Aug 02, 2016",2022-01-26 21:27:33.342891,20.05703422053232
44,78,https://s2.coinmarketcap.com/static/img/coins/64x64/5632.png,Arweave,AR,1036396557.11,2048294211.99,30.26,34.08,33.26,32.67,1.79,50987685.52,31.03,48663582.46,0.04695,0.06,33394701.0,66000000.0,63190435.0,-0.7283,34.53,31.02,45.15,27.5,45.15,27.5,90.94,27.5,90.94,4.64,90.94,0.4854,"Nov 05, 2021","May 27, 2020",2022-01-26 21:27:35.654362,-2.3470834676119883
45,81,https://s2.coinmarketcap.com/static/img/coins/64x64/5647.png,Kadena,KDA,960467359.19,5725432160.51,5.07,5.68,5.36,5.33,0.69,26594505.79,5.73,52984242.6,0.05517,0.06,167754561.0,1000000000.0,1000000000.0,0.2211,6.67,5.22,8.17,4.44,8.17,4.44,28.25,4.44,28.25,0.1433,28.25,0.1213,"Nov 11, 2021","Jan 11, 2021",2022-01-26 21:27:37.850647,3.8586387434554967
46,81,https://s2.coinmarketcap.com/static/img/coins/64x64/131.png,Dash,DASH,984799915.42,1764894767.61,88.67,92.01,90.38,89.69,0.76,188010508.25,93.38,202401177.91,0.2055,0.06,10546078.0,18900000.0,10546078.0,2.84,97.85,88.85,133.58,81.76,133.58,81.76,247.34,81.76,476.85,81.76,1642.22,0.2139,"Dec 20, 2017","Feb 14, 2014",2022-01-26 21:27:40.484435,3.041336474619833
47,83,https://s2.coinmarketcap.com/static/img/coins/64x64/5604.png,Secret,SCRT,914614954.01,1160944907.24,5.25,6.22,5.47,6.19,13.34,40520650.12,6.1,41902901.13,0.04581,0.05,149815729.0,0.0,190165060.0,0.07581,6.6,5.97,9.23,4.69,9.23,4.69,10.23,3.74,10.64,0.7674,10.64,0.2554,"Oct 28, 2021","Nov 03, 2020",2022-01-26 21:27:44.044744,1.2427868852459019
48,85,https://s2.coinmarketcap.com/static/img/coins/64x64/873.png,NEM,XEM,874743024.71,874743024.71,0.09457,0.09878,0.09783,0.09611,1.77,28275306.18,0.09719,32763681.71,0.03746,0.05,8999999999.0,8999999999.0,8999999999.0,0.001078,0.1028,0.09484,0.1172,0.08732,0.1172,0.08732,0.2388,0.08732,0.8652,0.0857,2.09,7.93e-05,"Jan 04, 2018","Sep 15, 2015",2022-01-26 21:27:46.316966,1.109167609836403
49,86,https://s2.coinmarketcap.com/static/img/coins/64x64/8646.png,Mina,MINA,857874370.01,1962611460.68,2.22,2.38,2.33,2.32,0.46,39520076.07,2.38,44201798.01,0.05152,0.05,360223380.0,0.0,824104972.0,0.08477,2.54,2.25,3.64,2.09,3.64,2.09,6.57,2.09,9.91,0.9233,9.91,0.9233,"Jun 01, 2021","Jul 21, 2021",2022-01-26 21:27:48.693879,3.561764705882353
50,87,https://s2.coinmarketcap.com/static/img/coins/64x64/3822.png,Theta Fuel,TFUEL,836565950.14,836565950.14,0.123,0.1314,0.1314,0.1286,2.06,27492648.51,0.1578,154321402.47,0.1845,0.05,5301214400.0,0.0,5301214400.0,0.031,0.1881,0.1253,0.2006,0.1148,0.2006,0.1148,0.3968,0.1148,0.6807,0.02678,0.6807,0.0008897,"Jun 09, 2021","Mar 13, 2020",2022-01-26 21:27:51.422585,19.64512040557668
51,89,https://s2.coinmarketcap.com/static/img/coins/64x64/1168.png,Decred,DCR,816888532.16,1251096839.51,53.09,56.17,54.97,54.78,0.34,5135359.37,59.58,11095754.44,0.01358,0.05,13711696.0,21000000.0,13711696.0,4.91,63.69,53.86,71.3,50.28,71.3,50.28,122.24,50.28,250.02,50.28,250.02,0.3948,"Apr 17, 2021","Dec 28, 2016",2022-01-26 21:27:54.144306,8.241020476670025
52,90,https://s2.coinmarketcap.com/static/img/coins/64x64/2634.png,XDC Network,XDC,799415352.66,2449568055.02,0.06179,0.06424,0.06238,0.06348,1.77,7879738.28,0.06497,9200977.47,0.01151,0.05,12305012699.0,0.0,37705012699.0,0.001572,0.06615,0.06294,0.08312,0.05745,0.08312,0.05745,0.1165,0.05745,0.1939,0.005411,0.1939,0.0001571,"Aug 21, 2021","Jun 20, 2019",2022-01-26 21:27:56.845084,2.419578266892412
53,94,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,IoTeX,IOTX,724145198.62,759000050.21,0.06838,0.0735,0.07068,0.07255,2.64,25749998.52,0.0759,32437129.48,0.04479,0.04,9540779324.0,10000000000.0,9626124332.0,0.003571,0.07905,0.07138,0.109,0.06322,0.109,0.06322,0.2611,0.06258,0.2611,0.009101,0.2611,0.001239,"Nov 13, 2021","Mar 13, 2020",2022-01-26 21:27:59.524817,4.704874835309618
54,95,https://s2.coinmarketcap.com/static/img/coins/64x64/2577.png,Ravencoin,RVN,688787975.16,1381089178.12,0.06075,0.0651,0.06224,0.06334,1.77,31852156.95,0.06577,44322844.89,0.06435,0.04,10473290000.0,21000000000.0,10473290000.0,0.00171,0.07022,0.06281,0.08872,0.05355,0.08872,0.05355,0.1496,0.05355,0.2854,0.0146,0.2854,0.008794,"Feb 20, 2021","Mar 13, 2020",2022-01-26 21:28:02.166824,2.5999695909989358
55,98,https://s2.coinmarketcap.com/static/img/coins/64x64/4747.png,Velas,VLX,575251944.07,575251944.07,0.2367,0.2459,0.2459,0.2435,0.99,7938970.03,0.2551,10114298.5,0.01758,0.03,2254628928.0,0.0,2254628928.0,0.01044,0.2593,0.2409,0.3339,0.226,0.5706,0.226,0.572,0.1666,0.572,0.03444,0.572,0.01162,"Nov 04, 2021","Oct 16, 2019",2022-01-26 21:28:06.448375,4.092512740101921
